,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
107,IE,2005,6001.30451418,0.0833333333333,8.00954442383,1.53571428571,110.260113341,0.00564713573331,0.0605394916215,0.0633983580527,0.179003866767
108,IE,2008,7238.55058423,0.0,20.0265873016,7.05555555556,97.2205804843,0.0,0.125496598203,0.241486497305,0.130856782632
109,IE,2011,6117.02138686,3.25,17.6416666667,34.0,101.91422619,0.216072003346,0.13082062879,1.37705779573,0.162324642244
110,IL,1999,12369.6856027,0.333333333333,81.6216460547,2.83333333333,152.359356463,0.0109591083418,0.299311433326,0.0567482220781,0.120005212462
111,IL,2002,18697.0247653,1.0,110.620151121,2.28571428571,208.646636991,0.0217511705273,0.268372717212,0.0302874485505,0.10872477754
112,IL,2005,21281.2424898,1.95555555556,84.2552894021,13.3333333333,243.668304101,0.0373704488887,0.179587793077,0.155222618826,0.111555683717
113,IL,2008,25190.0610373,3.3,78.3007026835,12.8035714286,355.232751159,0.0532770116073,0.140998034564,0.125925927666,0.137395788708
114,IL,2011,21286.6242646,14.8635281385,80.9185185185,39.1845238095,352.210401795,0.283968555177,0.172431953252,0.456058998306,0.161207419215
115,IN,1999,2507.95779391,0.306666666667,2.6309042809,1.0,47.4215272183,0.0497280564302,0.0475840543917,0.0987854600018,0.184223468509
116,IN,2002,7091.79470327,0.125,20.2274603175,1.2,108.833524602,0.00716818152241,0.12937841373,0.0419216474309,0.149518930245
117,IN,2005,11475.1886007,0.468055555556,16.1330527806,2.49166666667,139.964032747,0.0165879496643,0.0637724852029,0.0537951794042,0.118835516209
118,IN,2008,16290.3589416,4.35714285714,40.9692112671,15.1976190476,335.503127945,0.108774296258,0.11407843867,0.231130974524,0.20065757613
119,IN,2011,19004.1880806,19.2112301587,66.171010917,70.4951322751,346.353701892,0.411112793319,0.157941067439,0.919015973421,0.177566140797
120,IT,1999,56490.5782322,43.6666666667,174.748305861,14.75,688.87931878,0.314361358797,0.140318060476,0.0646888231332,0.118811032098
121,IT,2002,66561.3881076,19.8166666667,205.822789017,17.51875,593.04515229,0.121077479166,0.140264480528,0.0652069661911,0.0868070568212
122,IT,2005,61435.6923899,14.106006771,311.441202713,47.3916666667,522.644901999,0.0933766883262,0.229949214216,0.191114868107,0.0828849353959
123,IT,2008,56307.6774349,30.4050925926,188.368207834,97.3178571429,554.442296683,0.219600767074,0.15174577604,0.42819162983,0.0959352875838
124,IT,2011,39732.9801512,30.2779220779,112.168772894,130.235452742,581.592970319,0.309906056093,0.128055267495,0.812066011715,0.142612518753
125,JP,1999,324701.848162,284.338877313,3866.07404319,9.59285714286,19204.5643748,0.356128409613,0.540084888558,0.0073194165968,0.576247881412
126,JP,2002,408988.230324,419.054503191,6369.02960757,91.5928751804,26653.7668582,0.416691688795,0.706381109778,0.0554835360979,0.634946927968
127,JP,2005,503220.203155,584.259936958,8929.57730516,214.012955563,36416.1740666,0.472175202558,0.80491394559,0.105364726959,0.705059696188
128,JP,2008,513167.168862,985.516938661,10669.8186028,326.574512987,40334.0160676,0.78101678258,0.943137019154,0.157665500718,0.765776871572
129,JP,2011,439319.07898,1226.474797,10842.9936411,696.360736486,38031.5463496,1.1353602898,1.11955583509,0.392705932003,0.843438772684
130,KR,1999,177774.949433,82.0087301587,1068.07572519,30.5666666667,19064.9287884,0.18760510846,0.272526099273,0.0425981528183,1.04485076642
131,KR,2002,224619.593945,148.630068543,1572.21567951,135.833333333,18291.144027,0.269100296809,0.317498080848,0.149820751303,0.7933829691
